,strDrink,strAlcoholic,strCategory,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
145,Bleeding Surgeon,Alcoholic,Soft Drink / Soda,Dark rum,Orange,Surge,Cranberry juice,,,,,,,,,,,
146,Blind Russian,Alcoholic,Milk / Float / Shake,Bailey's irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,,,,,
147,Bloody Maria,Alcoholic,Ordinary Drink,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,,
148,Bloody Mary,Alcoholic,Ordinary Drink,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,
149,Blue Lagoon,Alcoholic,Ordinary Drink,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,
150,Blue Margarita,Alcoholic,Ordinary Drink,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,,,
151,Blue Mountain,Alcoholic,Ordinary Drink,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,,,
152,Bluebird,Alcoholic,Ordinary Drink,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,
153,Bob Marley,Alcoholic,Shot,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,,,,,
154,Bobby Burns Cocktail,Alcoholic,Ordinary Drink,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,,,,,
155,Boomerang,Alcoholic,Ordinary Drink,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,
156,Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,,,,,
157,Bora Bora,Non alcoholic,Cocktail,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,
158,Boston Sidecar,Alcoholic,Ordinary Drink,Light rum,Brandy,Triple sec,Lime,,,,,,,,,,,
159,Boston Sour,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,,,,,
160,Bourbon Sling,Alcoholic,Ordinary Drink,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,,,,,
161,Bourbon Sour,Alcoholic,Ordinary Drink,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,
162,Boxcar,Alcoholic,Ordinary Drink,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,
163,Brain Fart,Alcoholic,Punch / Party Drink,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,
164,Brainteaser,Alcoholic,Shot,Sambuca,Erin Cream,Advocaat,,,,,,,,,,,,
165,Bramble,Alcoholic,Ordinary Drink,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,
166,Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,,,,,,,
167,Brandy Alexander,Alcoholic,Ordinary Drink,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,
168,Brandy Cobbler,Alcoholic,Ordinary Drink,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,,,
169,Brandy Flip,Alcoholic,Ordinary Drink,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,
170,Brandy Sour,Alcoholic,Ordinary Drink,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,
171,Brave Bull Shooter,Alcoholic,Shot,Tequila,Tabasco sauce,,,,,,,,,,,,,
172,Bruce's Puce,Alcoholic,Shot,Grenadine,Kahlua,Bailey's irish cream,,,,,,,,,,,,
173,Bruised Heart,Alcoholic,Shot,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,
174,Bubble Gum,Alcoholic,Shot,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,
175,Buccaneer,Alcoholic,Beer,Corona,Bacardi Limon,,,,,,,,,,,,,
176,Bumble Bee #1,Alcoholic,Shot,Bailey's irish cream,Kahlua,Sambuca,,,,,,,,,,,,
177,Butter Baby,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,,,,,,,
178,Cafe Savoy,Alcoholic,Coffee / Tea,Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,
179,Caipirinha,Alcoholic,Ordinary Drink,Sugar,Lime,Cachaca,,,,,,,,,,,,
180,Caipirissima,Alcoholic,Ordinary Drink,Lime,Sugar,White rum,Ice,,,,,,,,,,,
181,California Lemonade,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,,,,,
182,California Root Beer,Alcoholic,Soft Drink / Soda,Kahlua,Galliano,Soda water,,,,,,,,,,,,
183,Campari Beer,Alcoholic,Beer,Lager,Campari,,,,,,,,,,,,,
184,Caribbean Boilermaker,Alcoholic,Beer,Corona,Light rum,,,,,,,,,,,,,
185,Caribbean Orange Liqueur,Alcoholic,Homemade Liqueur,Orange,Vodka,Sugar,,,,,,,,,,,,
186,Casino,Alcoholic,Ordinary Drink,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,
187,Casino Royale,Alcoholic,Ordinary Drink,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,,,
188,Castillian Hot Chocolate,Non alcoholic,Cocoa,Cocoa powder,Sugar,Cornstarch,Water,Milk,,,,,,,,,,
189,Champagne Cocktail,Alcoholic,Ordinary Drink,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,,,,,
190,Cherry Electric Lemonade,,Cocktail,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,
191,Cherry Rum,Alcoholic,Ordinary Drink,Light rum,Cherry brandy,Light cream,,,,,,,,,,,,
192,Chicago Fizz,Alcoholic,Ordinary Drink,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,,,,,
193,Chocolate Beverage,Non alcoholic,Cocoa,Milk,Chocolate,Cinnamon,Egg,,,,,,,,,,,
194,Chocolate Black Russian,Alcoholic,Ordinary Drink,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,
195,Chocolate Drink,Non alcoholic,Cocoa,Chocolate,Milk,Water,,,,,,,,,,,,
196,Chocolate Milk,Alcoholic,Shot,Chocolate liqueur,Milk,Amaretto,,,,,,,,,,,,
197,Chocolate Monkey,Optional alcohol,Milk / Float / Shake,Banana liqueur,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,,,,,,,
198,Citrus Coke,Alcoholic,Soft Drink / Soda,Bacardi Limon,Coca-Cola,,,,,,,,,,,,,
199,City Slicker,Alcoholic,Ordinary Drink,Brandy,Triple sec,Lemon juice,,,,,,,,,,,,
200,Classic Old-Fashioned,Alcoholic,Ordinary Drink,Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,,,,,
201,Clove Cocktail,Alcoholic,Ordinary Drink,Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,,,
202,Clover Club,Alcoholic,Ordinary Drink,Gin,Grenadine,Lemon,Egg white,,,,,,,,,,,
203,Coffee Liqueur,Alcoholic,Homemade Liqueur,Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,,,,,
204,Coffee-Vodka,Alcoholic,Homemade Liqueur,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,,,,,
205,Coke and Drops,Non alcoholic,Soft Drink / Soda,Coca-Cola,Lemon juice,,,,,,,,,,,,,
206,Cosmopolitan,Alcoholic,Cocktail,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,,,,,
207,Cosmopolitan Martini,Alcoholic,Cocktail,Cointreau,Vodka,Lime,Cranberry juice,,,,,,,,,,,
208,Cranberry Cordial,Alcoholic,Homemade Liqueur,Cranberries,Sugar,Light rum,,,,,,,,,,,,
209,Cranberry Punch,Non alcoholic,Punch / Party Drink,Cranberry juice,Sugar,Pineapple juice,Almond flavoring,Ginger ale,,,,,,,,,,
210,Cream Soda,Alcoholic,Cocktail,Spiced rum,Ginger ale,,,,,,,,,,,,,
211,Creme de Menthe,Alcoholic,Homemade Liqueur,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,,,,,,
212,Cuba Libra,Alcoholic,Ordinary Drink,Dark rum,Lime,Coca-Cola,Ice,,,,,,,,,,,
213,Cuba Libre,Alcoholic,Ordinary Drink,Light rum,Lime,Coca-Cola,,,,,,,,,,,,
214,Daiquiri,Alcoholic,Ordinary Drink,Light rum,Lime,Powdered sugar,,,,,,,,,,,,
215,Damned if you do,Alcoholic,Shot,Whiskey,Hot Damn,,,,,,,,,,,,,
