run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
152,16,80,2,240,3,0.053314121037463975,694,0.11356496810913086,0.041666666666666664,720,1.1217799186706543
153,16,80,2,240,3,0.05,720,0.11320662498474121,0.04722222222222222,720,1.1690597534179688
154,16,80,2,240,3,0.041666666666666664,720,0.1139366626739502,0.03611111111111111,720,1.2246146202087402
155,16,80,2,240,3,0.06388888888888888,720,0.11480498313903809,0.05,720,1.2513277530670166
156,16,80,2,240,3,0.04093567251461988,684,0.11525559425354004,0.027777777777777776,720,1.457200288772583
157,16,80,2,240,3,0.05555555555555555,720,0.11474323272705078,0.03333333333333333,720,1.9273464679718018
158,16,80,2,240,3,0.03611111111111111,720,0.11305522918701172,0.022222222222222223,720,1.3940951824188232
159,16,80,2,240,3,0.04871060171919771,698,0.11441731452941895,0.03888888888888889,720,1.204561471939087
160,16,80,2,240,3,0.041666666666666664,720,0.11387944221496582,0.03333333333333333,720,1.6174352169036865
161,17,90,1,360,3,0.0745697896749522,1046,0.19548654556274414,0.05185185185185185,1080,2.0756514072418213
162,17,90,1,360,3,0.07592592592592592,1080,0.19409751892089844,0.05925925925925926,1080,1.7163913249969482
163,17,90,1,360,3,0.0658513640639699,1063,0.19539356231689453,0.05555555555555555,1080,1.4556689262390137
164,17,90,1,360,3,0.06481481481481481,1080,0.19585442543029785,0.05,1080,2.179248809814453
165,17,90,1,360,3,0.05337078651685393,1068,0.19647932052612305,0.03148148148148148,1080,2.803131341934204
166,17,90,1,360,3,0.052434456928838954,1068,0.1945185661315918,0.040740740740740744,1080,1.8578648567199707
167,17,90,1,360,3,0.053703703703703705,1080,0.19586992263793945,0.046296296296296294,1080,2.0109024047851562
168,17,90,1,360,3,0.04814814814814815,1080,0.19662809371948242,0.04259259259259259,1080,1.485933780670166
169,17,90,1,360,3,0.06666666666666667,1080,0.19721555709838867,0.053703703703703705,1080,2.0434494018554688
170,17,90,1,360,3,0.06841611996251172,1067,0.1938326358795166,0.04814814814814815,1080,2.5099575519561768
171,18,90,2,270,3,0.0345679012345679,810,0.15077781677246094,0.022222222222222223,810,1.2657756805419922
172,18,90,2,270,3,0.04234122042341221,803,0.1695396900177002,0.03209876543209877,810,1.197117805480957
173,18,90,2,270,3,0.028642590286425903,803,0.167525053024292,0.02962962962962963,810,1.3852357864379883
174,18,90,2,270,3,0.03680203045685279,788,0.1510603427886963,0.027160493827160494,810,1.216266393661499
175,18,90,2,270,3,0.06580645161290323,775,0.16841697692871094,0.05185185185185185,810,1.9706974029541016
176,18,90,2,270,3,0.05137844611528822,798,0.1512308120727539,0.02962962962962963,810,1.4509248733520508
177,18,90,2,270,3,0.04197530864197531,810,0.14965534210205078,0.02962962962962963,810,1.47835373878479
178,18,90,2,270,3,0.03209876543209877,810,0.15032505989074707,0.027160493827160494,810,1.4017388820648193
